,Hospital,State,City,LocalAddress,Pincode
674,Bareja Hospital,Haryana,Faridabad,"Main Road, Fatehpur Billoch,Ballabgarh",121004
675,Bargachia Nursing Home,West Bengal,Howrah,"Bargachis, J.B.Pur, Opp Petrol Pump.",711404
676,Baroda Heart & Multispeciality Hospital,Gujarat,Bharuch,"71 To 91,Capital Business Centre,Upper Ground Floor,Wing B,Panchbatti Oppcentral Bank Of India,Station Road,",392001
677,Baroda Heart Institute And Research Centre,Gujarat,Baroda,"44, Haribhakti Colony, Race Course,Vadodara",390007
678,Barrackpore Medicare & Recovery Centre Ltd,West Bengal,Titagarh,"No.6/6,B.T.Road,Talpukur,Titagarh,24-Parganas(North)",700123
679,Barsa Nursing Home,Orissa,Kendrapada,"By Pass Square, Pattamundai",754215
680,Barthakur Clinic Pvt Ltd,Assam,Guwahati,Karghuli Road Kharghuli,781028
681,Basant Sahney Hospitals.,Andhra Pradesh,Secunderabad,"#253,Nehru Nagar,Road No.11,West Marredpally,K.Konda Reddy Street,Secunderabad,",500026
682,Basappa Memorial Hospital,Karnataka,Mysore,"22-B, Vinobha Road, Mysore-570012",570012
683,Basappa Multispeciality Hospital,Karnataka,Chitradurga,"Basapa Hospital Building,Turuvanur Road,",577501
684,Basavanagudi E.N.T. Care Centre,Karnataka,Bangalore,"44/1, H.B. Samaja Road, Basavanagudi",560004
685,Basavangudi Medical Centre,Karnataka,Bangalore,"84/1, R.V. Road, Basavanagudi,Bangalore-560004.",560004
686,Basavatarakam Indo American Cancer Hospital & Research Institute,Andhra Pradesh,Hyderabad,"Road No 14, Banjara Hills, Hyderabad-500034",500034
687,Bassi Nursing Home Pvt Ltd,Punjab,Ludhiana,"B-970,Nea Dhubighat,Rajpura Road",141001
688,Batalia Eye Hosptial,Madhya Pradesh,Jabalpur,"Dr. Batalia Road, Near Clock Tower",482001
689,Batra Hospital,Delhi,Delhi,"1 ,Tughkalabad Institutional Am.B Road",110062
690,Batra Hospital,Gujarat,Baroda,"112-116,Chaturbhai Park Sangam Warasia Ring Road",390006
691,Batra Hospital,Madhya Pradesh,Bhopal,"#17, Zone-1, Mp Nagar",462011
692,Bavishi Eye Hospital,Gujarat,Ahmedabad,"# 1, Tapovan Society, S.N. Road, Ahmedabad-380015",380015
693,Bavishi Hospital,Gujarat,Ahmedabad,"Opp Manjulal Municipal Garden,Near Adani Cng Pvmp Station",380007
694,Bawa Hospital Pvt Ltd,Punjab,Ludhiana,"Near Old Dandi Swami Mandir, Civil Lines",141001
695,Bay View Clinic,Maharashtra,Mumbai,"3/3A, M. Parmanand Road,Mumbai-400004,",400004
696,Bbc Heart Care Pruthi Hospital,Punjab,Jallandhar,"301, Lajpat Nagar, Jalandhar.Punjab.",144001
697,Be Well Hospitals Pvt Ltd,Tamilnadu,Pondicherry,"No. 15, Lawspet, Green Garden, Ecr, Pondicherry, Shenbaga Motors (Maruthi Show Room)",605008
698,Beams Hospitals Privated Limited,Karnataka,Bangalore,"640, 12Th Main, 80 Ft Road, 4Th Block, Koramangala, Bengaluru-560034",560034
699,Beams Hospitals Pvt Ltd-Amritsar,Punjab,Amritsar,"29-B, Race Course Road, Amritsar, Punjab-143001",143001
700,Beams Hospitals Pvt Ltd. Hyderabad,Andhra Pradesh,Hyderabad,"Plot No. 99, Road No-1, Jublee Hills, Hyderabad-500033",500033
701,Beas Hospital,Himachal Pradesh,Kullu,"The Mall,Dhalpurdhacpur",175101
702,Behera Nursing Home,Orissa,Bargarh,"National Highway # 6, Bargarh, Infront Of R.T.O",768028
703,Behl Hospital,Delhi,Delhi,"B-128, Naraina Viahar",110028
704,Bejan Singh Eye Hospital Pvt Ltd,Tamilnadu,Kanyakumari,"No.2/1,313C,M.S.Road,Vettoornimadam,Nagercoil,",629003
705,Belaku Eye Hospitals Pvt Ltd,Karnataka,Kengeri Upanagara,"#769, 1St Cross, Ring Road, Kengeri Upanagar, Bangalore-560060Kengeri Upanagara",560060
706,Belgaum Cancer Hospital Pvt Ltd,Karnataka,Belgaum,"#9666A-2/D,Ashok Nagar, Belgaum-590010",590010
707,Belgaum Children'S Hospital Pvt Ltd,Karnataka,Belgaum,"1St Floor,Samsukha Complex,Khade Bazar",590001
708,Belle Vue Nursing Home,Maharashtra,Mumbai,"Sejal, 1St Floor, New Link Road Off Veera Desai Road Andheriroad, Versova, Andheri(W)",400058
709,Belle Vue'S Cambridge Hospital,Karnataka,Bangalore,"18/17, Cambridge Road, Ulsoor, Bangalore-560008",560008
710,Bellona Nursing Home And Diagnostic Centre Private Limited,West Bengal,Kolkata,"51 A, Diamond, Harbour Road, Mominpur Crossing.",700027
711,Belokar Hospital,Maharashtra,Amravati,Vijay Colony Rukhmini Nagar,444606
712,Bembde Hospital,Maharashtra,Aurangabad,"14, Beed By Pass Road, Near Shahanoorwadi Rly Crossing, Satara Parisar, Aurangabad, Maharashtra",431005
713,Benaka Health Centre,Karnataka,Ujjire,"Lhh Road,Near Jyothi Takies,Mangalore-575003",574240
714,Bendre Hospital And Maternity Home,Maharashtra,Ahmednagar,"7375,Deshmukhwadi,Sarjapura",414001
715,Bensups Hospital,Delhi,New Delhi,"Bensups Avenue,Sector-12, Dwarka Metro Station",110075
716,Benuban Health Care & Diagnostic Centre,West Bengal,Howrah,"Bultikuri,Near Japani Gate Esi Hospital",711113
717,Benzer Nursing Home,Maharashtra,Mumbai,"2Nd Cross Road,Lokhandwala Complex,Andheri West",400053
718,Beri Maternity Centre,Punjab,Amritsar,"G.T.Road Putlighar,Amritsarganga",143001
719,Bethany Hospital,Maharashtra,Mumbai,"Next To Glaxo,Opp. Ma Niketan,",400610
720,Bethel Hospital (P) Ltd,Tamilnadu,Coimbatore,"# 223, Dr. Rajendra Prasad Road.",641012
721,Better Health Pvt Ltd,Gujarat,Ahmedabad,"Pallav J.M. Desai Memorial Hospital, Maninagar East.",380008
722,Better Sight & Research Centre,Maharashtra,Mumbai,"Sector 7,B/29-004,Shantivagar,Mira Road East,Thane",401107
723,Bgm Hospital,Tamilnadu,Madurai,"1/249,New Nathan Road,Iyyer Bungalow",625014
724,Bgs Global Hospital,Karnataka,Bangalore,"#67,Uttarahalli Road,Kengeri",560060
725,Bhadra Nursing Home,Karnataka,Bhadravathi,Gandhinagar,577301
726,Bhagat Chandra Hospital (A Unit Of Bhagat Hospitals (P) Ltd.),Delhi,New Delhi,"Rz-F1/1, Mahavir Enclave, Near Dwarka Airport Flyover, New Delhi.",110045
727,Bhagat Hospital,Delhi,Delhi,"D-2/48-49, Janakpuri, New Delhi",110059
728,Bhagat Nursing Home,Maharashtra,Mumbai,Ganesh Nivas 2Nd Floorpai Nagar,400092
729,Bhagavathi Multi Speciality Hospital,Karnataka,Hsr Layout,"L-168, 6Th Sector, Hsr Layout, Bangalore-560102",560102
730,Bhagawati Netralaya,Maharashtra,Pune,Manik Chowk Chakan Tal Khed,410501
731,Bhagirathi Hospital,Orissa,Dhenkanal,"Hanuman Bazar,Kamakshyanagar",759018
732,Bhagwan Mahaveer Cancer Hospital And Research Centre,Rajasthan,Jaipur,"Jawaharlal Nehru Marg, Near Saras Dairy.",302017
733,Bhagwan Mahaveer Darshan Eye Hospital,Karnataka,Mysore,"Opp. K.R. Mills, Mysore Bangalore Road, Siddalingapura, Mysore-570003",570003
734,Bhagwan Mahaveer Eye Hospital,Tamilnadu,Chennai,"# 142, M.S. Koil Street, Royapuram.",600013
735,Bhagwan Mahaveer Jain Heart Centre( A Unit Of Srinivasa Cardiology Centre Pvt Ltd),Karnataka,Bangalore,"#8,Millers Tank Bund Road Near Cantonment Railway Station",560052
736,Bhagwan Mahaveer Jain Hospital,Karnataka,Bangalore,"No.17, Millers Road, Vasanthnagar, Bangalore-560052",560052
737,Bhagwan Mahaveer Jain Netralaya,Karnataka,Bangalore,"#3, Railway Platform Road,Sheshadripuram, Policestation Opp. Roadsheshadripuram",560020
738,Bhagwan Mahavir Hospital,Delhi,Delhi,"Sector-14, Ext., Rohini, Madhuban Chowk.",110085
739,Bhagwat Maternity And Nursing Home,Karnataka,Shimoga,"Court Road,Sagar",577401
740,Bhagwati Healthcare Pvt Ltd,Maharashtra,Ulhasnagar,"Plot # 2, Rameshwadi, Kulgaon Badlapur Road, Badlapur West",421503
741,Bhagwati Hospital,Delhi,Delhi,"Cs/Ocf 6 , Sector 13 Rohininear Printers Apt",110085
742,Bhagwati Urology Hospital,Gujarat,Jamnagar,"Amrish Complex,4Th Floor,Gurudwara Road, Indira Marg.",361001
743,Bhagyoday Tirth Hospital,Madhya Pradesh,Sagar,Khurai Road,470002
744,Bhagyojaya Hospital,Maharashtra,Baramati,Indapur Road,413102
745,Bhailal Amin General Hospital,Gujarat,Baroda,Bhailal Amin Marg Gorwabaroda,390003
746,Bhakti Hospital,Maharashtra,Pune,"Pune Nagar Road,Sanaswadi Chowk",412208
747,Bhaktivedanta Hospital,Maharashtra,Mumbai,"Sector-1, Srishti Complex, Mirthane",401107
748,Bhalerao Ent Hospital,Maharashtra,Pune,"Ganaraj Complex,2Nd Floor,# 3,Near Mahaslkant Chowk,Akurdi",411035
749,Bhandari Hospital,Rajasthan,Jodhpur,"204, Ligh,",342008
750,Bhandari Hospital & Research Centre,Madhya Pradesh,Indore,"Gf-21,22,23 Scheme # 54, Vijay Nagar",452014
751,Bhandari Hospital & Research Centre(A Unit Of Bhandari Health Care Pvt .Ltd),Rajasthan,Jaipur,"138-A, Vasundhara Colony,Gopalpura By-Pass,Tonk Road,Gopalpura By-Pass, Tonk Road,",302018
752,Bhandari Maternity & Nursing Home,Maharashtra,Pune,"5,Dhanlaxmi Society,Sinhagad Road",411051
753,Bhandari Polyclinic Pvt Ltd,Madhya Pradesh,Jabalpur,"#659, Napier Town,",482001
754,Bhanu Nursing Home,Karnataka,Bangalore,"69/5B, Bommanahalli, Hosur Rd,Bangalore",560068
755,Bharani Paventhan Multi Speciality Hospital,Tamilnadu,Erode,"74, Sampath Nagar Erode Tamilnadu",638011
756,Bharat Hospital And Research Centre,Madhya Pradesh,Jabalpur,"Patrakar Colony, Near Ranital Chowk",482002
757,Bharat Surgical & Maternity Centre,Punjab,Barnala,"Handiaya Road, 5 No Street.",148101
758,Bharat Vikas Parishad Hospital Research Centre,Rajasthan,Kota,"Pratapnagar, Dada Bari.",327008
759,Bharath Hospital,Kerala,Kottayam,"Azad Lane ,Thirunakkara",686001
760,Bharath Hospital,Tamilnadu,Chennai,"# 72, I St Main Road,Nanganallur",600061
761,Bharath Hospital & Institute Of Oncolgy,Karnataka,Mysore,"# 438, Outer Ring Road, Hebbal.",570017
762,Bharath Nursing Home,Karnataka,Bangalore,"# 1402, Near Vegitable Market, J.P Nagr 1St Phase, Bangalore-560078Kanakapura Main Road.",560078
763,Bharath Rural Hospital & Training Centre,Kerala,Ernakulam,"Kuriapilly,Moothakunnam",683516
764,Bharathi Hospital,Andhra Pradesh,Kadapa,"1/82, R.S. Road, Kadapa-516001",516004
765,Bharathi Hospital,Andhra Pradesh,Vizag,"14-24-1, Men'S Hostel Road, Maharanipet, Visakhapatnam-530002",530002
766,Bharathi Hospital,Karnataka,Channarayapatna,Dr.Bharathi Ravindranath Bajab Soaw Room,573116
767,Bharathi Hospital,Karnataka,Tumkur,"4Th Cross,Barkline Road, K.R. Extension, 4Th Cross, Tumkur-572101",572101
768,Bharathi Hospital,Tamilnadu,Virudhunagar,"# 592/2,Sri Renga Palayam,Rajapalayam",626117
769,Bharathy Hospital,Karnataka,Bangalore,"#4,Nagarabhavi Main Road,Prashanth Nagar",560079
770,Bharatiya Arogya Nidhi Sheth Kantilal C. Parikh General Hospital,Maharashtra,Mumbai,"N.S.Road.No.13, Jupds, Mumbai, Maharashtra",400049
771,Bhardwaj Hospital,Uttar Pradesh,Noida,"Nh-1, Sector-29,Gautam Budh Nagar",201301
772,Bhardwaj Nursing Home,Andhra Pradesh,Warangal,"Beside Bus Stand,Rtc,Thorrur,",506163
773,Bhargava Hospital,Uttar Pradesh,Kanpur,"15/263, Civil Lines, Kanpur",208001
774,Bhargava Hospital & Research Centre,Rajasthan,Jhalawar,"Kohli Mohalla Jhalrapatan,Jhalawar",326023
775,Bhargava Nursing Home,Chattisgarh,Bilaspur,"Magarpara Road,",495001
776,Bhargava Nursing Home,Maharashtra,Mumbai,"Gopal Bhuvan, Tagore Road, Santacruz(W), Mumbai",400054
777,Bharti Eye Foundation,Delhi,Delhi,"1/3,East Patel Nagar,Newdelhi",110008
778,Bhartiya Maternity & Nursing Home,Maharashtra,Aurangabad,"3-12-65,Raja Bazar Jinsi Road",431001
779,Bhartiya Maternity & Nursing Home Pvt Ltd,Maharashtra,Aurangabad,"#27,Manjeet Nagar,Opp Akashwani Chowk Jalna Road",431001
780,Bharucha Hospital,Gujarat,Baroda,"Anjana Park Complex,Subhanpura Main Road",390023
781,Bhaskara Hospital,Andhra Pradesh,Hyderabad,"Shapurnagar Main Road,Near Sai Bhavani Hospital",500055
782,Bhaskara Hospital,Andhra Pradesh,Rangareddy,"Hno-C-11-13-154/1/1,Road#1,Dwarakanagar Colony,Saroornagar,Ranga Reddy",500035
783,Bhate Hospital And Maternity Home Chikodi,Karnataka,Belgaum,"#1243, Basaveshwar Circle, Chikodi, Belgaum-591201",591201
784,Bhatia General Hospital,Maharashtra,Mumbai,"Tukaram Javji Road, Tardeo, Mumbai, Maharashtra",400007
785,Bhatia Global Hospital & Endosurgery Institute,Delhi,Delhi,"307 &308, Ambica Viharpaschim Vihar",110087
786,Bhatia Orthopaedic & Maternity Nursing Home,Haryana,Faridabad,"# 390-Sector 7B, Faridabaddelhi",121006
787,Bhatiya Hospital,Maharashtra,Jalgaon,"'Dwarka'Deshpande Lane,Main Road,Chopda",425107
788,Bhatti Eye Clinic,Maharashtra,Mumbai,"# 22, Amar Mansion,Sion Trombay Road, Mumbai.",400088
789,Bhavana Nursing Home,Karnataka,Anekal,Mysore Bank Road,562106
790,Bhavsar Surgical & Maternity Hospital,Gujarat,Godhra,"Near Church, Panjera Pole, Above Bombay Cold Drinks Medaopp.Bank Of Baroda",389001
791,Bhavya Hospital,Andhra Pradesh,Hyderabad,"Plot No.65,Road No.5,New Samathapuri Colony,Na",500035
792,Bhide Hospital,Maharashtra,Pune,"# 18, Laxmi Park, Navi Pethnavi Peth, Pune-411030.",411030
793,Bhimavaram Hospitals Ltd,Andhra Pradesh,Tadepalligudam,J.P. Road Bhimavaramwest Godavary,534204
794,Bhola Hospital,Haryana,Kurukshetra,"Railway Road, Kurukshetra",136118
795,Bhola Hospital,Uttar Pradesh,Allahabad,"# 12/13, Lowther Road,Dar Bhanga Colony,Darbhanga Colony, Allahabad.",211002
796,Bhopal Charitable Hospital,Madhya Pradesh,Bhopal,"Noor Mahal Road,Chowki Imambadachowki Imambaba, Bhopal-462001",462001
797,Bhopal Eye Hospital,Madhya Pradesh,Bhopal,"# 29, Rajdev Colony, Barasia Road",462001
798,Bhopal Heart & General Hospital,Madhya Pradesh,Bhopal,"H3 B Sector, Sonagiri",462021
799,Bhubaneswar Medical Research Institute & Nursing Home,Orissa,Bhubaneswar,"Plot #-1,Bda District Centre,Chandrasekharpur",751016
800,Bhupal Hospital & Research Centre,Uttar Pradesh,Meerut,"#159, College Road, Adjacent To Ganaga Plaza.",250002
801,Bibi Ayesha Mili Hospital,Karnataka,Bangalore,"242, Old Mysore-Bangalore Rd,Mysore",570015
802,Bibi General Hospital & Cancer Centre,Andhra Pradesh,Hyderabad,"16-3-991/1/C Govt Printing Press, Marketgovt. Printing Press Road",500024
803,Bikaner Nursing Home,Rajasthan,Bikaner,Pawan Puri,334003
804,Bilagi Hospital & Research Centre,Karnataka,Hubli,Opp Nehru Stedium Main Gate,580020
805,Billroth Hospital Limited,Tamilnadu,Chennai,"#43, Lakshmi Takis Rd,Shenay Nagarshenoy Nagar, Chennai",600030
806,Billroth Hospitals - Ra Puram,Tamilnadu,Chennai,"#52, 2Nd Main Road, Raja Annamalai Puram,Raja Annamalai Puram",600028
807,Bilva Hospital,Karnataka,Guttahalli,"No. 21, 22, 2Nd Main Palace Guttahalli, Bangalore-560003, Near Vinayaka Circle",560003
808,Bimal Hospital,Delhi,Nangloi,"17/1,Near Bhuto Wali Gali",110041
809,Bimla Devi Hospital,Delhi,Delhi,"# 5, Pocket B, Ocf Mayur Vihar Phase Iiphase-11, Delhi-110091.",110091
810,Bindu Nursing Home,Maharashtra,Pune,"Sudarshan Nager,Chinchwad",411033
811,Bindubasini Nursing Home,West Bengal,North24Paraganas,"76, Madhusudan Banerjee Road, Birati",700051
812,Birajdar Hospital,Maharashtra,Solapur,"Ninali Vasti Road, Solapur,Maharashtra-413001",413001
813,Birati Nursing Home Pvt Ltd,West Bengal,Kolkata,"No.2,Gopal Jew Mandir Road,Birati,24 Parganas(North),",700051
814,Birmole Hospital,Maharashtra,Raigad,"No.118/1,Cuf Road,Cuf Nagar,Panvel,Opp Royal Cosmo Club",410206
815,Bishop Alapatt Mission Hospital,Kerala,Cochin,Karanchira Kattoor P.O,680702
816,Bishop Benziger Hospital,Kerala,Kollam,Beach Road Kollam-691001,691001
817,Blk Memorial Hospital,Delhi,Delhi,"Pusa Road,Near Rajendra Place Metro Station",110005
818,Bobade Accident Hospital,Maharashtra,Baramati,"Bobade Accident Hospital, Baramati",413102
819,Bodyline Hospitals (A Unit Of Kidneyline Healthcare Pvt Ltd),Gujarat,Ahmedabad,"Opp. Annapurna Hall, Near Dev Status, New Vikas Gruh Road, Paldi, Ahmedabad.",380007
820,Bollineni Heart Centre Pvt Ltd,Andhra Pradesh,Eastgodavari,"#77-7-77/1,Seelam Nookaraju Complex Road,Katari Gardens,Rajahmundry",533103
821,Bollineni Hospitals (A Unit Of Krishna Institute Of Medical Sciences Limited),Andhra Pradesh,Rajamundry,"#77-7-77/1, Seelam Nookaraju Complex Katari Gardens,",533103
822,Bollineni Ramanaiah Memorial Hospital & Pvt Ltd,Andhra Pradesh,Nellore,"Dargamitta,Nellore",524003
823,Bollineni Ramanaiah Memorial Hospitals Pvt. Ltd,Andhra Pradesh,Nellore,"Dargamitta,Nellore",524003
824,Bombay Hospital,Madhya Pradesh,Indore,"Ida - Scheme ,No .94/95Ring Road ,",452010
825,Bombay Hospital & Research Centre,Uttaranchal,Haldwani,"Near Saurabh Hotel,Avas Vikas Road,Near Comfort Inn Saurabh Hotel",263139
826,Bombay Hospital & Research Centre Jabalpur,Madhya Pradesh,Jabalpur,"906-Gol Bazar, Jabalpur, Madhya Pradesh, Shaheed Smarak Ground.",482002
827,Bombay Hospital And Research Centre,Maharashtra,Mumbai,"#12,New Marine Lines,Mumbai",400020
828,Bommidala Cancer Institute,Andhra Pradesh,Guntur,Peda Kakani.,522509
829,Bone And Joint Hospital & Research Centre Pvt Ltd,Rajasthan,Jodhpur,"3, Shyam Nagar, Near Radha Krishna Mandir, Pal Link Road Jodhapur (Rajasthan) India-342003",342003
830,Bopal Eye Care Centre,Gujarat,Ahmedabad,"Off-Bs-22To25, B Wing, 2Nd Floor, Ahmedabad, Amrapali Mall, Bopal City Gold Theatre",380058
831,Bopal Multispeciality Hospital Pvt Ltd,Gujarat,Ahmedabad,"1St First Floor,Abhinandan Complex, Opp-Inductotherm, Bopal , Ahmedabad",380058
832,Boppana Super Speciality Hospital,Andhra Pradesh,Vijayawada,"Machilipatnam Road, Poranki, Vijayawada, Andhra Pradesh.",521137
833,Bora Ent Hospital,Maharashtra,Pune,"#2/4,Neeta Park Air Port Road,Yerwada",411006
834,Bora Hospital,Maharashtra,Pune,"#589, Ganesh Peth,Dhor Galli",411002
835,Brahm Shakti Hospital,Delhi,Delhi,"U-1/78, Budh Vihar, Phase-1, Main Kanjhawala Road, Delhi-110086",110086
836,Brahm Shakti Sanjivani Hospital,Haryana,Jhajjar,Opp:Telephe Exchangedist Jharjjar,124507
837,Brahma Nursing Home,Karnataka,Karwar,"Nadangadda, Karwar.",581304
838,Brahmaputra Diagnostics & Hospital Ltd,Assam,Dibrugarh,"Bordoloi Avenue,Patian Bazar, Near Circuit House & Assam Medical College, Dibrugarh-786001",786001
839,Brain & Spine Hospital,Gujarat,Ahmedabad,"Blue Star Complex,Near Under Bridge,Income Tax,Navrangpur",380014
840,Breach Candy Hospital,Maharashtra,Mumbai,60-A Bhulabhai Desai Road,400026
841,Brij Medical Center,Uttar Pradesh,Ghaziabad,"Kk 54, Kavi Nagar,Ghaziabad (Up)",201002
842,Brij Medical Centre Pvt Ltd,Uttar Pradesh,Kanpur,"# 94, E-Block, Near Panbi Police Station.",208020
843,Brijlal Hospital & Research Centre Pvt Ltd,Uttarakhand,Nainital,"Anandi Tower,Nainital Road",263139
844,Brijmohan Taori Memorial Hospital,Maharashtra,Nagpur,"Mo-1, Silver Palace, Dhantoli,Nagpur-440012",440012
845,Bristlecone Hospitals Private Limited,Andhra Pradesh,Hyderabad,"3-4-136/A,Street #6 Barkatpurbarkhatpura Branch",500027
846,Brookefield Hospital (A Unit Of Sanjeevini Healthcare),Karnataka,Kundalahalli,"#521, 522, Vijaylakshmi Square, Itpl Main Road, Kundalahalli, Bangalore-560037Kundalahalli",560037
847,Brrighton Kavita Hospital,Haryana,Faridabad,"5,Sector-29,Opp Huda Market, Faridabad , Haryana",121008
848,Brs Hospital Pvt.Ltd,Tamilnadu,Chennai,No.28. Cathedral Garden Roadcathedral Gardens Road,600034
849,Brundavan Nursing Home,Andhra Pradesh,Machlipatanam,"# 24/588- Railway Station Road, Rajavari Centre.",521001
850,Brws Hospital,West Bengal,Garia,"Kendua Main Road,",700084
851,Bses Mg Hospital,Maharashtra,Mumbai,"Sv Road, Andheri (W), Opp Andheri Rly Stn, Maharashtra",400058
852,Bsr Ent Nursing Home,Andhra Pradesh,Hyderabad,"Sd Road,Karancentre",500003
853,Burute Hospital,Maharashtra,Bhosari,"Near Rupee Co-Op Bank,Opp Pune-Nashik Highway",411039
854,Burute Hospital,Maharashtra,Pune,"B,2-3,Laxmi Classic Poona Alandi Road, Mohanwadi Near Vishrantwadi,Yerwada",411006
855,C.A.Hospital,Kerala,Aluva,"#339/340/341/15,Deson,Kumnnumpuram,Aluva",683103
856,C.F. Sheth Memorial Hospital,Gujarat,Bharuch,"Shalimar Complex, Station Road",392001
857,C.K. Hospital,Tamilnadu,Erode,"# 41, Balasubbarayalu Streeterode",638001
858,C.K.Memorial Kapoor,Haryana,Faridabad,"3B/8A,Nit,Nh-3,Dav College Road",121001
859,C.R.Reddy Hospital,Andhra Pradesh,Nellore,"13/264,Hospital Road,Gudur",524101
860,C.S.I. Hospital,Karnataka,Chikkaballapur,"C.S.I. Hospital Road,Kolar.",562101
861,C.S.I. Kalyani General Hospital,Tamilnadu,Chennai,"15, Dr Radhakrishnan Salai, Mylapore, Chennai-600004, Next To City Centre",600004
862,C.S.I. Lombard Memorial Hospital,Karnataka,Udupi,Mission Hospital Road,576101
863,C.S.I. Rainy Multi-Speciality Hospital,Tamilnadu,Chennai,"#45, G.A. Road Chennai",600021
864,C.S.I. Redfern Memorial Hospital,Karnataka,Hassan,"Race Course Road, P.O Box No.127.",573201
865,C.S.M Nursing Home,Tamilnadu,Chennai,"# 18, Rukmani Street,West Mambalam",600033
866,C.V.R Hospital,Andhra Pradesh,Guntur,"H No:10-1-7,1St Lane,Sambasivapet,",522001
867,Calcutta Lions Netra Niketan (Unit Of Lions Club Of Calcutta Trust),West Bengal,Kolkata,"1/2/A/2,Uday Sankar Sarani, Golf Green, Near Golf Green Door Darshan Kendra,South 24 Parganas",700095
868,Calibre Medical Centre (Cmc),Andhra Pradesh,Hyderabad,"1-11-240/2D, Shyamlal Buildings Begumpet",500016
869,Canara Health Care Limited,Karnataka,Kumta,"Baggon Road,",581343
870,Capitol Nursing Home Pvt Ltd,West Bengal,Kolkata,"288/2 Ap C Road,(Ps Narkeldanga)(P S Narkeldanga)",700009
871,Cardinal Gracious Memorial Hospital Trust,Maharashtra,Mumbai,"Sandor, Bangli Naka, Vasai West, Thane - 401201",401202
872,Care And Cure Hospital,West Bengal,Kolkata,"Surendra Nath Road, Nabapally,Barasat Dt,24Parg North,West Bengalbarasatdist 24 Parg(N)",700126
873,Care Hospital,Andhra Pradesh,Hyderabad,"No.6-3-248/1/1A, Road No.01, Banjara Hills, Hyderabad-500034",500034
874,Care Hospitals,Andhra Pradesh,Secunderabad,"Near Clocl Tower,Adjacent Laneto Westely Church, Market Stre",500003
875,Care Hospitals (A Unit Of Quality Care India Limited).,Andhra Pradesh,Hyderabad,"Exhibition Road Hyderabad-500001, Near Mazam Jahi Market",500001
876,Career Institute Of Medical Sciences(Cims),Madhya Pradesh,Bhopal,"Career College Campus,Govindpura, Bhelgovindpura, Bhel, Bhopal.",462023
877,Carewell Heart & Super Speciality Hospital,Punjab,Amritsar,"Model Town, G-T. Road,Near Raiway Station,Amritsar",143001
878,Carewell Hospital,Rajasthan,Jaipur,"#471, Adarsh Nagar.",302004
879,Carewell Hospital & Research Centre,Kerala,Kasaragod,"Nullipady, Kasargod,Kerala - 671 121",671121
880,Carmel Hospital,Kerala,Ernakulam,"Asokapuram,P.O",683101
881,Cauvery Hospital,Karnataka,Mysore,"# 756, New Kantharaje Urs Roadsaraswathipuram Mysore",570009
882,Cauvery Hospital,Karnataka,Mysore,"Terission College Road,Bannur Road,Shidharthnagar",570011
883,Cauvery Orthopaedic Centre,Karnataka,Bangalore,"#408,20Th Main,W.O.C.Road,1St Block,Rajajinagar",560010
884,Cauvery Trust Hospital,Tamilnadu,Chennai,"No.36,Ponnankinaru Street,Villivakkam,",600049
885,Ccmk Hospital,Kerala,Trichur,"Ccmk Village,Vellikulam Road,Chalakudy",680307
886,Cdr Medical Centre,Karnataka,Bangalore,"Jayanagar, B'Lore",560011
887,Central Avenue Critical Care Hospital & Iccu,Maharashtra,Nagpur,"Mahalaxmi Complex, Central Avenue Roaddarodkar Square, Central Avenu",440002
888,Central Hospital,Delhi,Delhi,"A-142/1, Ganesh Nagar P.O,Tilak Nagartilak Nagar, New Delhi-110018.",110018
889,Central Hospital,Uttar Pradesh,Aligarh,"Masoodabad Crossing,G.T. Road, Aligarh-202001.",202001
890,Centre For Knee Surgery,Gujarat,Baroda,"101/3,Akashganga Complex,Race Couse Circle",390007
891,Centre For Sight,Delhi,Delhi,"B-5/24, Oppsite Deer Park Safdarjung Enclave,",110016
892,Centre For Sight (A Unit Of New Delhi Centrre For Sight Pvt Ltd),Punjab,Mohali,"#35,Phase-7,",160061
893,Centre For Sight (Agra),Uttar Pradesh,Agra,"116, Delhi Gate, Agra. U.P",282003
894,Centre For Sight (Gurgaon),Haryana,Gurgaon,"Sco Complex-317, Sec-29, Gurgaon",122002
895,Centre For Sight (Hisar),Haryana,Hissar,"Centre For Sight At Gayatri Eye Care Institute,1Model Town, Jindal Chowk, Hissarhisar",125001
896,Centre For Sight (Jammu),Jammu & Kashmir,Jammu,"228, Bc Road, Rehari Chungi, Jammu.",180001
897,Centre For Sight (Jodhpur),Rajasthan,Jodhpur,"At Ram Rishi Laser Centre, 562, 7Thc Road, Sardarpura, Near Satsang Bhawan.",342001
898,Centre For Sight (Ludhiana),Punjab,Ludhiana,"1St Floor, Sandhu Tower,Bxx-3369, Ferozpur Road,",141001
899,Centre For Sight (Moradabad),Uttar Pradesh,Moradabad,"At Vivekanand Hospital &Research Centre, Kanth Road, Moradabad",244001
900,Centre For Sight (Preet Vihar),Delhi,New Delhi,"F-19 Vikas Marg,Preet Vihar,Nr Preet Vihar Metro Station,Delhipreet Vihar",110092
901,Centre For Sight (Rajouri),Delhi,Delhi,"J-12/30, Rajouri Garden, New Delhi",110027
902,Centre For Sight (Rohini),Delhi,Delhi,"304-309, Ring Road Mall, Sector-3, Rohini,",110085
